id,source_mesh,center_x,center_y,center_z,min_z,max_z,size_x,size_y,size_z,bbox_volume
cerchietto_021,Cerchietto.021,-0.8914798498153687,-5.892584562301636,4.1738035678863525,4.120372295379639,4.227234840393066,0.2212662696838379,0.21320199966430664,0.10686254501342773,0.005041177635517745
cerchietto_018,Cerchietto.018,-0.6185377538204193,-6.118112325668335,4.239085912704468,4.188799858093262,4.289371967315674,0.2210264801979065,0.21521234512329102,0.10057210922241211,0.0047839765919475705
cerchietto_025,Cerchietto.025,-1.5422523617744446,-5.956626653671265,4.250243425369263,4.196812152862549,4.303674697875977,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
cerchietto_026,Cerchietto.026,-1.2977600693702698,-6.012998819351196,4.251897573471069,4.1984663009643555,4.305328845977783,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
cerchietto_020,Cerchietto.020,-1.0521033704280853,-6.067487478256226,4.255674600601196,4.202243328094482,4.30910587310791,0.22126632928848267,0.21320199966430664,0.10686254501342773,0.005041178993508743
cerchietto_019,Cerchietto.019,-0.8069528937339783,-6.272547245025635,4.312163829803467,4.26187801361084,4.362449645996094,0.22102642059326172,0.2152118682861328,0.1005716323852539,0.004783942020229753
cerchietto_017,Cerchietto.017,-0.5494111627340317,-6.35673975944519,4.320894956588745,4.270608901977539,4.371181011199951,0.2210264503955841,0.21521234512329102,0.10057210922241211,0.004783975946895391
cerchietto_027,Cerchietto.027,-1.4658265709877014,-6.163386583328247,4.323743104934692,4.2703118324279785,4.377174377441406,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
cerchietto_029,Cerchietto.029,-1.2061274647712708,-6.240887880325317,4.330237150192261,4.276805877685547,4.383668422698975,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
cerchietto_016,Cerchietto.016,-0.7217598855495453,-6.502021312713623,4.393102407455444,4.342816352844238,4.44338846206665,0.2210264801979065,0.2152118682861328,0.10057210922241211,0.004783965992287027
cerchietto_015,Cerchietto.015,-0.4791324585676193,-6.565967321395874,4.393541097640991,4.343255043029785,4.443827152252197,0.2210264503955841,0.21521234512329102,0.10057210922241211,0.004783975946895391
cerchietto_001,Cerchietto.001,-0.9651165306568146,-6.437975645065308,4.39564061164856,4.3453545570373535,4.445926666259766,0.22102636098861694,0.21521234512329102,0.10057210922241211,0.0047839740117388545
cerchietto_028,Cerchietto.028,-1.389375627040863,-6.39812159538269,4.4101645946502686,4.356733322143555,4.463595867156982,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
cerchietto_013,Cerchietto.013,-0.6539196372032166,-6.731712341308594,4.473735570907593,4.423449516296387,4.524021625518799,0.22102642059326172,0.2152118682861328,0.10057210922241211,0.0047839647021855275
cerchietto_012,Cerchietto.012,-0.8958646953105927,-6.673123598098755,4.4744861125946045,4.424200057983398,4.5247721672058105,0.2210264801979065,0.21521234512329102,0.10057210922241211,0.0047839765919475705
cerchietto_011,Cerchietto.011,-1.1309444904327393,-6.608794212341309,4.475738286972046,4.42545223236084,4.526024341583252,0.22102642059326172,0.2152118682861328,0.10057210922241211,0.0047839647021855275
cerchietto_014,Cerchietto.014,-0.4066312164068222,-6.798574209213257,4.476635217666626,4.42634916305542,4.526921272277832,0.2210264503955841,0.21521234512329102,0.10057210922241211,0.004783975946895391
tip_008,Tip.008,0.46923506259918213,-10.117372035980225,4.705867767333984,4.672085762023926,4.739649772644043,0.16017770767211914,0.16271305084228516,0.06756401062011719,0.0017609210447428148
tip_009,Tip.009,0.31786759197711945,-10.0438871383667,4.717693090438843,4.6841349601745605,4.751251220703125,0.12946882843971252,0.13242340087890625,0.06711626052856445,0.0011506883243590687
tip_011,Tip.011,0.28025876730680466,-10.325811862945557,4.7363481521606445,4.673830986022949,4.79886531829834,0.09984083473682404,0.12121295928955078,0.12503433227539062,0.0015131658688497009
tip_010,Tip.010,0.17032208666205406,-10.067750453948975,4.776957273483276,4.7204508781433105,4.833463668823242,0.14533481746912003,0.1463937759399414,0.11301279067993164,0.0024044728715954676
tip_006,Tip.006,0.36477674543857574,-9.875482559204102,4.790716886520386,4.74806022644043,4.833373546600342,0.18284007906913757,0.11965370178222656,0.08531332015991211,0.001866441504440347
tip_007,Tip.007,0.5729079246520996,-9.956065654754639,4.813371658325195,4.746700763702393,4.880042552947998,0.19355344772338867,0.16890430450439453,0.13334178924560547,0.004359211170392105
tip_017,Tip.017,-0.3559243083000183,-10.311695098876953,4.816528797149658,4.788506507873535,4.844551086425781,0.12773531675338745,0.13371658325195312,0.056044578552246094,0.0009572599029331558
tip_016,Tip.016,-0.20546556264162064,-10.384212970733643,4.835363388061523,4.791797637939453,4.878929138183594,0.15326254069805145,0.1618661880493164,0.08713150024414062,0.0021615602824304296
tip_019,Tip.019,-0.39534178376197815,-10.592796802520752,4.841125726699829,4.77803373336792,4.904217720031738,0.1039472222328186,0.11676311492919922,0.12618398666381836,0.0015315204666778498
cover_test3,Cover Test3,-0.5002571940422058,-5.612126708030701,4.841220140457153,3.6633291244506836,6.019111156463623,3.4725066423416138,3.78483510017395,2.3557820320129395,30.961725276295372
tip_018,Tip.018,-0.5109625905752182,-10.333972930908203,4.850818872451782,4.804473400115967,4.897164344787598,0.15547814965248108,0.14621734619140625,0.09269094467163086,0.0021071990852981324
tip_001,Tip.001,0.3998618721961975,-9.744504928588867,4.862669944763184,4.816566467285156,4.908773422241211,0.2001209855079651,0.11777305603027344,0.09220695495605469,0.0021732128159874494
tip_014,Tip.014,-0.3220192492008209,-10.139961242675781,4.8857762813568115,4.851171970367432,4.920380592346191,0.18454980850219727,0.12157058715820312,0.06920862197875977,0.0015527527789420585
tip_000,Tip.000,0.6213540732860565,-9.833642482757568,4.891186475753784,4.819305896759033,4.963067054748535,0.19789868593215942,0.17719364166259766,0.14376115798950195,0.005041184666229344
tip_005,Tip.005,0.17526746168732643,-9.889702796936035,4.902355909347534,4.809579849243164,4.995131969451904,0.15787237137556076,0.14046096801757812,0.18555212020874023,0.004114600843517138
tip_030,Tip.030,-1.2265445590019226,-10.02159595489502,4.904880046844482,4.873755931854248,4.936004161834717,0.12697184085845947,0.1326007843017578,0.06224822998046875,0.0010480464126587426
